# all.topics.primary.relevance.judgements.final.tsv.txt
# This file contains all of the maximum-length span primary relevance judgments for the
# TREC 2007 Genomics track.
# Each line represents the relevance of judgment on one topic for one maximum-length span.
# Fields are tab-delimited in the following order:
# TOPIC	PMID	OFFSET	LENGTH	RELEVANCE
#
200	7493960	39964	2283	NOT_RELEVANT
200	7657648	17646	1004	NOT_RELEVANT
200	7713924	19475	2376	NOT_RELEVANT
200	8557639	3092	1488	NOT_RELEVANT
200	8621728	17314	1683	NOT_RELEVANT
200	8626519	64272	1447	NOT_RELEVANT
200	8631752	51302	988	NOT_RELEVANT
200	8977415	63973	20519	NOT_RELEVANT
200	8996242	2119	1549	RELEVANT
200	8996242	5373	1092	NOT_RELEVANT
200	8996242	6492	1500	NOT_RELEVANT
200	8996242	14265	164	NOT_RELEVANT
200	8996242	18439	2906	RELEVANT
200	8996242	21388	876	RELEVANT
200	8996242	29744	2922	NOT_RELEVANT
200	9002957	72777	549	NOT_RELEVANT
200	9020173	66198	2436	NOT_RELEVANT
200	9028933	41297	1152	NOT_RELEVANT
200	9028933	131809	440	RELEVANT
200	9063387	2059	1870	NOT_RELEVANT
200	9063387	7300	1702	RELEVANT
200	9063387	58122	4989	NOT_RELEVANT
200	9063387	82135	1426	RELEVANT
200	9063387	83588	3235	RELEVANT
200	9063387	97901	27036	NOT_RELEVANT
200	9063752	34141	283	RELEVANT
200	9063752	36115	485	NOT_RELEVANT
200	9075699	44028	17998	NOT_RELEVANT
200	9115284	41827	1312	NOT_RELEVANT
200	9116283	50657	1230	NOT_RELEVANT
200	9116283	92357	563	NOT_RELEVANT
200	9129034	7632	947	RELEVANT
200	9182682	36579	2119	NOT_RELEVANT
200	9211864	60945	1021	NOT_RELEVANT
200	9218492	61538	2165	NOT_RELEVANT
200	9268371	3887	2089	RELEVANT
200	9269765	51215	1343	RELEVANT
200	9269776	54329	1885	NOT_RELEVANT
200	9310494	0	248	NOT_RELEVANT
200	9314541	2412	2809	NOT_RELEVANT
200	9328470	26252	1022	NOT_RELEVANT
200	9348302	0	236	NOT_RELEVANT
200	9354660	2068	2158	RELEVANT
200	9354660	24144	1126	RELEVANT
200	9354660	38967	478	NOT_RELEVANT
200	9354669	13912	958	NOT_RELEVANT
200	9354669	49120	3751	NOT_RELEVANT
200	9354669	73830	513	RELEVANT
200	9389537	47702	18014	NOT_RELEVANT
200	9421427	112954	31538	NOT_RELEVANT
200	9427734	0	264	RELEVANT
200	9440807	5881	3128	NOT_RELEVANT
200	9449717	81192	1880	NOT_RELEVANT
200	9454740	186751	621	NOT_RELEVANT
200	9454742	22012	715	NOT_RELEVANT
200	9463403	57947	2337	NOT_RELEVANT
200	9463403	73553	1766	RELEVANT
200	9463403	78242	1763	RELEVANT
200	9463403	82001	2989	RELEVANT
200	9463405	2489	1588	NOT_RELEVANT
200	9463405	7702	1363	RELEVANT
200	9463405	17908	7191	NOT_RELEVANT
200	9463405	73865	2351	NOT_RELEVANT
200	9490690	49044	1516	NOT_RELEVANT
200	9565591	68485	1862	NOT_RELEVANT
200	9572997	37517	1561	NOT_RELEVANT
200	9660804	980	1454	NOT_RELEVANT
200	9660804	6829	1616	RELEVANT
200	9670045	86063	35785	RELEVANT
200	9694814	2224	1454	NOT_RELEVANT
200	9694814	3681	1651	RELEVANT
200	9696695	5466	762	NOT_RELEVANT
200	9716593	0	182	NOT_RELEVANT
200	9730900	2581	2705	RELEVANT
200	9730900	38110	1011	RELEVANT
200	9731066	59606	1202	RELEVANT
200	9756503	50472	2540	NOT_RELEVANT
200	9763553	51380	530	NOT_RELEVANT
200	9768635	15595	16437	NOT_RELEVANT
200	9808541	20887	681	RELEVANT
200	9826744	1131	1028	NOT_RELEVANT
200	9933635	6159	1579	NOT_RELEVANT
200	9949173	66276	1819	RELEVANT
200	10069423	4109	2339	RELEVANT
200	10069423	44399	17175	RELEVANT
200	10072432	1332	1208	NOT_RELEVANT
200	10072432	50425	278	NOT_RELEVANT
200	10090921	10160	2221	RELEVANT
200	10090921	12404	720	NOT_RELEVANT
200	10090921	13147	1084	NOT_RELEVANT
200	10090921	59180	515	RELEVANT
200	10090921	101717	349	RELEVANT
200	10092662	55019	1660	NOT_RELEVANT
200	10098499	53208	15813	NOT_RELEVANT
200	10100000	58915	281	RELEVANT
200	10190901	60627	2600	NOT_RELEVANT
200	10198301	30076	4564	NOT_RELEVANT
200	10207042	6524	2201	RELEVANT
200	10224291	5834	4486	NOT_RELEVANT
200	10224291	39582	15495	NOT_RELEVANT
200	10233892	28229	1516	NOT_RELEVANT
200	10233892	62825	468	NOT_RELEVANT
200	10323205	27328	2336	NOT_RELEVANT
200	10330443	0	178	NOT_RELEVANT
200	10330454	2551	1321	NOT_RELEVANT
200	10330454	4014	1254	NOT_RELEVANT
200	10330454	5271	1236	NOT_RELEVANT
200	10336417	5738	2849	NOT_RELEVANT
200	10361122	7489	1907	NOT_RELEVANT
200	10361122	66632	431	RELEVANT
200	10361122	82922	500	NOT_RELEVANT
200	10361140	72326	503	RELEVANT
200	10409163	46018	11489	RELEVANT
200	10433197	33154	856	NOT_RELEVANT
200	10433197	52689	2078	NOT_RELEVANT
200	10433197	55360	610	NOT_RELEVANT
200	10438407	39655	432	NOT_RELEVANT
200	10438407	53540	440	RELEVANT
200	10462267	49687	19009	NOT_RELEVANT
200	10464157	13203	2097	NOT_RELEVANT
200	10477553	91735	306	NOT_RELEVANT
200	10489235	22342	1992	NOT_RELEVANT
200	10498604	2589	2736	NOT_RELEVANT
200	10501412	2794	1524	RELEVANT
200	10501412	11785	503	RELEVANT
200	10501415	0	328	RELEVANT
200	10501415	770	1494	RELEVANT
200	10501415	3678	1830	RELEVANT
200	10501419	0	341	NOT_RELEVANT
200	10501419	9853	765	NOT_RELEVANT
200	10501422	6437	168	NOT_RELEVANT
200	10501431	640	1031	NOT_RELEVANT
200	10501431	20781	1111	NOT_RELEVANT
200	10501442	6574	278	NOT_RELEVANT
200	10508181	683	3013	NOT_RELEVANT
200	10508186	4848	3555	RELEVANT
200	10515645	3410	308	RELEVANT
200	10515652	71410	2835	RELEVANT
